,QV2M,RH2M,PRECTOTCORR,PS,T2M,T2M_RANGE,WS2M,DATE,District,Confirmed,Recovered,Deceased,Other
0,13.37,70.06,0.46,96.48,24.29,8.34,0.63,2021-01-01,Kannur,40061,36212,203,11
1,12.88,68.44,0.02,96.49,23.98,10.7,0.84,2021-01-02,Kannur,40258,36431,203,11
2,15.44,76.38,2.66,96.38,24.86,8.39,0.79,2021-01-03,Kannur,40437,36789,206,12
3,16.3,81.88,4.03,96.38,24.62,7.69,0.61,2021-01-04,Kannur,40570,37035,208,12
4,16.11,81.0,1.85,96.43,24.68,8.4,0.68,2021-01-05,Kannur,40822,37376,209,12
5,16.72,85.31,19.69,96.43,24.29,6.44,0.62,2021-01-06,Kannur,41041,37636,211,12
6,17.4,86.94,13.04,96.25,24.58,6.44,0.76,2021-01-07,Kannur,41192,38094,215,12
7,17.58,92.19,15.48,96.23,23.65,2.21,0.62,2021-01-08,Kannur,41441,38412,215,13
8,17.33,86.12,2.35,96.24,24.64,6.23,0.72,2021-01-09,Kannur,41623,38632,216,13
9,16.91,83.62,3.71,96.36,24.86,6.59,0.74,2021-01-10,Kannur,41885,38874,218,13
10,16.17,80.56,1.01,96.45,24.83,7.11,0.55,2021-01-11,Kannur,42045,39101,220,13
11,15.08,79.75,1.28,96.44,23.68,4.64,0.38,2021-01-12,Kannur,42318,39302,220,13
12,14.77,77.94,2.02,96.4,23.82,6.89,0.52,2021-01-13,Kannur,42577,39603,223,14
13,15.08,77.5,1.43,96.36,24.3,8.6,0.71,2021-01-14,Kannur,42812,39798,224,14
14,15.38,77.88,1.14,96.38,24.46,6.39,0.6,2021-01-15,Kannur,43031,39924,225,14
15,15.69,76.94,0.13,96.32,25.01,8.32,0.68,2021-01-16,Kannur,43238,40131,230,14
16,15.99,77.25,0.05,96.37,25.39,8.54,0.66,2021-01-17,Kannur,43477,40249,231,14
17,14.4,71.69,0.08,96.46,25.08,9.44,0.59,2021-01-18,Kannur,43664,40416,231,14
18,14.28,72.44,0.06,96.49,24.64,9.19,0.67,2021-01-19,Kannur,43965,40591,235,15
19,13.98,72.88,0.01,96.55,24.31,10.83,0.79,2021-01-20,Kannur,44246,40833,237,15
20,14.28,72.75,0.0,96.51,24.54,11.09,0.8,2021-01-21,Kannur,44545,41053,240,16
21,14.83,73.25,0.05,96.45,25.26,10.88,0.81,2021-01-22,Kannur,44857,41219,240,16
22,15.69,75.56,0.17,96.48,25.51,9.19,0.69,2021-01-23,Kannur,45178,41445,241,17
23,15.44,74.25,0.21,96.53,25.59,8.88,0.61,2021-01-24,Kannur,45540,41785,242,17
24,13.06,67.62,0.06,96.59,24.72,10.73,0.78,2021-01-25,Kannur,45655,41976,243,19
25,12.63,66.44,0.0,96.54,24.47,11.63,0.8,2021-01-26,Kannur,45960,42115,244,19
26,12.57,66.5,0.0,96.58,24.31,10.75,0.8,2021-01-27,Kannur,46317,42321,244,20
27,12.02,64.81,0.0,96.58,24.06,12.05,0.87,2021-01-28,Kannur,46592,42595,245,20
28,12.88,67.38,0.0,96.63,24.58,11.67,0.8,2021-01-29,Kannur,46941,42778,246,20
29,14.65,71.38,0.01,96.56,25.48,10.38,0.7,2021-01-30,Kannur,47262,42998,247,20
30,13.85,66.88,0.2,96.57,25.8,10.77,0.65,2021-01-31,Kannur,47492,43195,249,20
31,12.02,60.88,0.12,96.67,25.39,11.84,0.87,2021-02-01,Kannur,47649,43376,253,21
32,11.84,60.06,0.02,96.69,25.19,12.38,0.91,2021-02-02,Kannur,47989,43569,256,21
33,12.88,63.19,0.01,96.64,25.51,11.92,0.87,2021-02-03,Kannur,48286,43855,257,21
34,13.67,65.25,0.08,96.64,25.96,11.16,0.81,2021-02-04,Kannur,48575,44095,258,21
35,14.34,68.69,0.01,96.57,25.8,9.98,0.75,2021-02-05,Kannur,48828,44449,259,21
36,13.12,64.62,0.0,96.48,25.56,11.01,0.83,2021-02-06,Kannur,49010,44728,260,21
37,10.5,54.75,0.0,96.5,25.09,13.35,0.86,2021-02-07,Kannur,49264,45056,262,21
38,10.07,53.5,0.0,96.56,24.7,14.48,0.88,2021-02-08,Kannur,49409,45257,264,23
39,10.86,57.62,0.0,96.52,24.82,13.46,0.8,2021-02-09,Kannur,49682,45520,265,23
40,10.8,57.94,0.0,96.47,24.67,14.54,0.79,2021-02-10,Kannur,49895,45797,265,24
41,10.99,57.56,0.0,96.43,24.73,14.04,0.8,2021-02-11,Kannur,50146,46129,267,26
42,11.6,60.56,0.0,96.5,24.8,13.74,0.82,2021-02-12,Kannur,50343,46534,268,26
43,12.08,62.06,0.0,96.6,25.15,12.52,0.9,2021-02-13,Kannur,50622,46973,269,26
44,12.57,63.94,0.0,96.63,25.29,12.44,0.78,2021-02-14,Kannur,50786,47253,269,27
45,14.28,69.88,0.09,96.53,25.63,10.69,0.76,2021-02-15,Kannur,50921,47484,271,27
46,15.2,73.19,0.14,96.51,25.73,10.2,0.88,2021-02-16,Kannur,51103,47751,273,27
47,15.2,72.94,0.49,96.44,25.82,10.01,1.05,2021-02-17,Kannur,51387,48030,273,27
48,14.83,72.0,3.55,96.55,25.55,8.65,0.75,2021-02-18,Kannur,51598,48246,273,27
49,14.4,72.62,2.92,96.57,24.97,8.97,0.83,2021-02-19,Kannur,51794,48448,273,27
50,14.4,72.56,6.31,96.48,25.01,10.26,0.92,2021-02-20,Kannur,51970,48665,275,27
51,14.65,80.12,2.69,96.59,23.13,4.7,0.73,2021-02-21,Kannur,52137,48814,275,27
52,12.88,63.69,1.78,96.66,25.47,10.68,1.06,2021-02-22,Kannur,52251,49021,277,29
53,14.59,68.5,1.35,96.54,26.36,11.17,0.9,2021-02-23,Kannur,52457,49211,278,29
54,14.16,65.88,0.3,96.48,26.64,12.15,0.87,2021-02-24,Kannur,52656,49392,278,29
55,15.14,69.75,0.19,96.49,26.66,11.86,0.93,2021-02-25,Kannur,52968,49557,278,29
56,14.71,66.5,0.0,96.37,27.19,12.38,1.09,2021-02-26,Kannur,53145,49685,278,30
57,15.2,68.12,0.0,96.29,27.07,11.81,0.8,2021-02-27,Kannur,53318,49988,278,30
58,13.85,62.94,0.0,96.31,27.35,12.42,0.88,2021-02-28,Kannur,53499,50220,278,30
59,13.55,63.81,0.0,96.6,26.73,12.41,0.89,2021-03-01,Kannur,53697,50378,279,30
60,13.55,62.31,0.0,96.59,27.24,12.96,0.82,2021-03-02,Kannur,53922,50520,281,30
61,12.51,57.75,0.0,96.46,27.34,13.32,0.67,2021-03-03,Kannur,54050,50700,281,30
62,10.8,53.25,0.0,96.47,26.51,14.25,1.05,2021-03-04,Kannur,54254,51003,281,30
63,12.08,56.81,0.0,96.62,26.87,14.4,0.84,2021-03-05,Kannur,54429,51226,285,30
64,13.98,63.94,0.0,96.63,27.26,13.67,0.96,2021-03-06,Kannur,54644,51508,287,30
65,14.4,64.44,0.24,96.5,27.63,12.59,0.81,2021-03-07,Kannur,54802,51703,288,30
66,14.16,63.31,0.79,96.51,27.58,12.69,0.91,2021-03-08,Kannur,54884,51824,289,30
67,13.49,61.12,0.81,96.57,27.47,12.55,0.84,2021-03-09,Kannur,55062,51975,290,30
68,15.14,67.06,3.44,96.59,27.39,10.63,0.7,2021-03-10,Kannur,55185,52323,292,30
69,16.66,80.94,13.37,96.63,25.26,6.79,0.62,2021-03-11,Kannur,55385,52448,293,30
70,15.26,70.69,0.98,96.64,26.48,8.93,0.6,2021-03-12,Kannur,55516,52750,293,30
71,13.0,60.69,0.01,96.6,27.06,13.59,0.82,2021-03-13,Kannur,55721,52858,294,31
72,13.92,62.44,0.02,96.46,27.5,13.09,0.98,2021-03-14,Kannur,55872,52948,296,31
73,14.65,64.56,0.03,96.42,27.44,10.66,0.82,2021-03-15,Kannur,55946,53115,297,31
74,14.16,62.5,0.03,96.42,27.65,12.11,0.97,2021-03-16,Kannur,56122,53434,299,31
75,13.98,60.81,0.13,96.33,27.95,11.55,0.88,2021-03-17,Kannur,56261,53575,300,31
76,13.31,59.5,0.31,96.38,27.47,10.27,0.96,2021-03-18,Kannur,56422,53861,303,32
77,14.59,64.31,0.46,96.35,27.56,11.21,0.95,2021-03-19,Kannur,56602,53991,306,32
78,13.43,60.75,0.59,96.27,27.05,11.97,0.97,2021-03-20,Kannur,56761,54103,306,32
79,15.2,65.75,0.96,96.25,27.73,11.34,0.8,2021-03-21,Kannur,56943,54318,306,32
80,14.04,60.81,0.43,96.35,28.13,13.06,0.92,2021-03-22,Kannur,57068,54532,307,32
81,15.01,63.31,0.31,96.39,28.46,12.32,0.87,2021-03-23,Kannur,57320,54655,309,33
82,14.71,62.5,0.81,96.41,27.99,10.23,0.77,2021-03-24,Kannur,57615,54807,310,33
83,16.48,71.5,1.12,96.4,27.26,7.37,0.68,2021-03-25,Kannur,57820,54954,312,33
84,14.65,60.88,0.39,96.27,28.84,12.41,0.8,2021-03-26,Kannur,58065,55094,313,33
85,14.83,61.69,0.61,96.27,28.43,10.19,0.81,2021-03-27,Kannur,58287,55197,315,33
86,16.3,68.44,0.74,96.27,28.05,8.55,0.77,2021-03-28,Kannur,58572,55337,317,33
87,16.36,69.06,1.7,96.27,28.03,9.98,0.77,2021-03-29,Kannur,58821,55507,318,33
88,17.27,74.5,2.54,96.21,27.52,9.56,0.97,2021-03-30,Kannur,59069,55669,320,33
89,17.88,74.81,1.08,96.12,27.98,9.16,1.02,2021-03-31,Kannur,59485,55811,321,33
90,16.11,68.94,0.16,96.11,27.93,10.31,1.38,2021-04-01,Kannur,59830,55948,321,33
91,14.28,62.75,0.03,96.16,27.82,12.16,1.31,2021-04-02,Kannur,60102,56223,325,33
92,15.14,67.38,0.11,96.26,27.09,10.17,1.24,2021-04-03,Kannur,60366,56315,328,33
93,14.47,63.38,0.22,96.32,27.76,12.28,1.46,2021-04-04,Kannur,60716,56565,329,33
94,15.5,64.56,1.23,96.27,28.78,13.66,1.46,2021-04-05,Kannur,60956,56677,331,33
95,16.48,66.06,1.01,96.32,29.08,11.25,0.95,2021-04-06,Kannur,61366,56780,333,33
96,15.87,63.12,0.37,96.42,29.47,12.23,0.92,2021-04-07,Kannur,61653,56949,333,33
97,15.75,65.0,0.26,96.3,28.66,10.61,1.03,2021-04-08,Kannur,61987,57176,335,33
98,14.83,60.44,0.1,96.2,29.12,12.85,1.09,2021-04-09,Kannur,62465,57467,338,33
99,14.83,59.0,0.19,96.29,29.26,12.04,0.93,2021-04-10,Kannur,62916,57745,340,33
100,16.3,66.81,3.09,96.47,28.4,9.0,0.79,2021-04-11,Kannur,63491,57961,342,33
101,16.97,71.94,6.15,96.52,27.79,9.1,0.66,2021-04-12,Kannur,64027,58264,344,33
102,17.09,75.62,4.58,96.5,26.96,7.78,0.62,2021-04-13,Kannur,64530,58530,346,33
103,17.7,79.5,8.9,96.46,26.55,6.33,0.72,2021-04-14,Kannur,65278,58670,351,33
104,17.21,78.25,8.37,96.44,26.49,8.18,0.83,2021-04-15,Kannur,65927,58789,355,33
105,17.15,76.56,3.71,96.4,26.87,8.82,0.84,2021-04-16,Kannur,66600,59087,356,33
106,17.82,79.56,3.5,96.45,26.65,6.55,0.63,2021-04-17,Kannur,67732,59500,360,35
107,17.88,79.19,6.71,96.57,26.87,7.38,0.68,2021-04-18,Kannur,69183,60214,363,35
108,17.88,78.75,3.94,96.43,26.94,7.3,0.81,2021-04-19,Kannur,70358,60872,368,35
109,17.76,79.69,2.21,96.33,26.62,7.38,0.84,2021-04-20,Kannur,71718,61172,371,35
110,18.37,83.5,12.69,96.45,26.23,5.7,0.85,2021-04-21,Kannur,73272,61611,372,35
111,17.46,77.31,1.23,96.43,26.94,8.32,0.8,2021-04-22,Kannur,75019,62001,373,35
112,17.4,76.12,2.45,96.43,27.23,8.41,0.76,2021-04-23,Kannur,77017,62336,378,35
113,17.58,75.69,3.48,96.34,27.52,9.78,0.84,2021-04-24,Kannur,78772,62931,378,35
114,17.94,78.38,2.75,96.31,27.01,6.56,0.68,2021-04-25,Kannur,80615,63287,378,35
115,18.07,75.88,0.99,96.28,27.87,7.89,0.8,2021-04-26,Kannur,82233,63970,384,35
116,18.13,78.94,0.46,96.35,27.1,6.57,0.7,2021-04-27,Kannur,84229,64593,384,35
117,17.94,77.0,0.7,96.43,27.42,6.98,0.81,2021-04-28,Kannur,86086,65334,390,36
118,18.13,77.06,0.77,96.37,27.56,7.21,0.88,2021-04-29,Kannur,88085,66379,400,36
119,17.82,74.62,0.71,96.23,27.86,8.19,0.78,2021-04-30,Kannur,90567,67492,406,36
120,17.88,74.19,1.23,96.21,27.98,8.49,0.67,2021-05-01,Kannur,92051,68747,409,36
121,18.37,78.19,3.27,96.26,27.36,5.86,0.56,2021-05-02,Kannur,93576,69890,413,36
122,18.31,78.0,4.56,96.2,27.47,7.77,0.61,2021-05-03,Kannur,95045,71068,416,37
123,19.41,84.69,3.65,96.18,26.83,5.09,0.61,2021-05-04,Kannur,97030,72558,422,37
124,19.29,83.19,4.69,96.19,27.15,6.66,0.77,2021-05-05,Kannur,99117,74148,426,37
125,18.74,79.62,3.0,96.25,27.55,8.27,0.73,2021-05-06,Kannur,101535,76231,442,37
126,19.35,82.5,8.38,96.32,27.42,6.77,0.73,2021-05-07,Kannur,104674,77895,442,37
127,18.13,76.56,6.09,96.24,27.76,8.52,0.63,2021-05-08,Kannur,107764,79751,454,37
128,18.49,78.19,2.34,96.18,27.54,7.53,0.65,2021-05-09,Kannur,110061,81313,462,37
129,19.53,84.0,4.67,96.17,27.11,6.12,0.81,2021-05-10,Kannur,111899,83116,469,37
130,20.08,91.62,13.22,96.22,25.98,2.44,0.92,2021-05-11,Kannur,113984,85033,479,38
131,20.94,94.38,19.1,96.1,26.12,2.59,0.96,2021-05-12,Kannur,116330,86940,479,38
132,19.29,87.19,13.0,96.09,26.2,4.95,0.89,2021-05-13,Kannur,118591,89289,479,38
133,18.49,88.25,61.95,95.9,25.23,5.12,2.01,2021-05-14,Kannur,120750,90779,495,39
134,19.53,92.56,44.53,95.68,25.19,2.85,2.32,2021-05-15,Kannur,122402,92283,504,40
135,19.04,89.12,31.91,95.95,25.51,3.31,1.73,2021-05-16,Kannur,124097,95283,508,40
136,18.86,87.75,15.76,96.18,25.69,4.72,1.28,2021-05-17,Kannur,125738,101005,511,40
137,19.35,88.88,16.66,96.21,25.88,4.69,1.25,2021-05-18,Kannur,127112,106354,511,40
138,19.41,90.69,13.32,96.2,25.55,3.49,0.91,2021-05-19,Kannur,128901,110137,518,40
